conversation_id,subject,true_rating,predicted_rating,final_confidence,absolute_error,conversation_length,terminated_reason,confidence_step_1,confidence_step_2,confidence_step_3,confidence_step_4,confidence_step_5
c317a9dd-2900-454d-a73f-adda33648573,python_programming,1.9309505695710927,5.0,0.5,3.0690494304289073,5,max_exchanges,0.2,0.74,0.7,0.38,0.51
cb4a10ce-8fde-42c2-8125-4d3178aa597c,python_programming,4.047117027370955,5.0,0.5,0.9528829726290446,5,max_exchanges,0.2,0.54,0.54,0.79,0.62
cb649e3c-5e1e-4063-b029-b6d036fe1b12,python_programming,1.9568912698017589,5.0,0.5,3.043108730198241,5,max_exchanges,0.2,0.69,0.43,0.61,0.51
d0bcff83-328d-49d0-83ae-d48c1667afaa,python_programming,2.75,5.0,0.5,2.25,5,max_exchanges,0.2,0.3,0.31,0.35,0.54
d660d05a-de8f-4600-b759-cd6d336d4031,Python Programming,7.5,4.507393279922551,0.95,2.9926067200774487,3,confidence_threshold,0.2,0.5,0.8,,
dcee59e6-ba12-4ffe-863c-915eb74e183c,python_programming,2.874147642383812,5.0,0.5,2.125852357616188,5,max_exchanges,0.2,0.76,0.55,0.68,0.35
ddb34340-542b-46f0-bbd4-a02a63271c29,python_programming,0.0,5.0,0.5,5.0,5,max_exchanges,0.2,0.75,0.77,0.36,0.4
de98531d-5308-457f-8c12-27d6b4971765,web_development,4.919531468265383,5.0,0.5,0.08046853173461699,5,max_exchanges,0.2,0.42,0.35,0.68,0.59
ded212a8-b372-44b3-8d03-61e718847ebc,python_programming,7.25,5.0,0.5,2.25,5,max_exchanges,0.2,0.42,0.75,0.54,0.46
e39d8dc2-3d4e-45b6-99f2-6213d9435f6c,python_programming,4.185129871050861,5.0,0.5,0.8148701289491393,5,max_exchanges,0.2,0.65,0.47,0.41,0.67
e80a834f-82c6-4047-b785-523cfee63381,python_programming,7.25,5.0,0.5,2.25,4,confidence_threshold,0.2,0.31,0.78,0.8,
ee80998a-cddd-4103-b2dc-3916010bd56f,Python Programming,7.5,5.0,0.5,2.5,5,max_exchanges,0.2,0.63,0.4,0.5,0.65
ef2f887e-4e09-455a-ab40-8b0380343680,python_programming,5.0,5.0,0.5,0.0,5,max_exchanges,0.2,0.76,0.66,0.3,0.48
f06ff3b3-f161-493d-bc7f-3d3611e97c07,python_programming,0.5718746495655536,5.0,0.5,4.428125350434446,5,max_exchanges,0.2,0.5,0.4,0.58,0.33
f640b55f-b1fa-40ca-8e61-e5b90467fc05,python_programming,2.068174605033958,5.0,0.5,2.931825394966042,3,confidence_threshold,0.2,0.66,0.8,,
